timestamp_utc,elapsed_s,runner_count,codex_count,codex_rss_mb,load1,cpu_pct,mem_available_mb,swap_used_mb,pswpin_pages,pswpout_pages
2026-08-24T21:14:38.679882+00:00,0.1,4,99,10907.1,31.63,88.4,12304.2,0.0,0,0
2026-08-24T21:14:43.705959+00:00,5.1,4,98,10894.9,29.98,33.3,12273.0,0.0,0,0
2026-08-24T21:14:48.730946+00:00,10.1,4,89,9958.2,30.22,33.7,12471.6,0.0,0,0
2026-08-24T21:14:53.746194+00:00,15.1,4,65,7272.6,28.52,15.1,13265.0,0.0,0,0
2026-08-24T21:14:58.753571+00:00,20.1,4,34,3797.5,26.24,22.5,14178.2,0.0,0,0
2026-08-24T21:15:03.760612+00:00,25.2,3,27,3011.8,24.37,26.1,14359.6,0.0,0,0
2026-08-24T21:15:08.766533+00:00,30.2,3,22,2458.0,23.38,10.2,14526.9,0.0,0,0
2026-08-24T21:15:13.778539+00:00,35.2,3,59,6538.6,28.00,48.2,13488.6,0.0,0,0
2026-08-24T21:15:18.788635+00:00,40.2,3,51,5708.6,25.84,11.3,13522.5,0.0,0,0
2026-08-24T21:15:23.807562+00:00,45.2,3,42,4507.3,24.17,26.8,13946.1,0.0,0,0
2026-08-24T21:15:28.818608+00:00,50.2,3,45,5019.3,22.23,50.4,13763.4,0.0,0,0
2026-08-24T21:15:33.826773+00:00,55.2,3,40,4457.0,20.45,16.0,13926.8,0.0,0,0
2026-08-24T21:15:38.834576+00:00,60.2,3,34,3814.7,18.81,12.7,14153.2,0.0,0,0
2026-08-24T21:15:43.847753+00:00,65.2,3,33,3698.3,17.31,6.3,14260.9,0.0,0,0
2026-08-24T21:15:48.861037+00:00,70.3,3,31,3454.1,17.28,31.9,14273.1,0.0,0,0
2026-08-24T21:15:53.868432+00:00,75.3,2,30,3334.6,16.46,30.5,14295.6,0.0,0,0
2026-08-24T21:15:58.875073+00:00,80.3,2,30,3350.4,15.14,9.9,14337.0,0.0,0,0
2026-08-24T21:16:03.881258+00:00,85.3,2,27,3030.8,14.09,7.6,14436.8,0.0,0,0
2026-08-24T21:16:08.887803+00:00,90.3,2,18,2016.3,13.44,9.7,14706.9,0.0,0,0
2026-08-24T21:16:13.892034+00:00,95.3,2,12,1352.5,12.36,4.2,14892.3,0.0,0,0
2026-08-24T21:16:18.895285+00:00,100.3,2,7,788.3,11.37,2.2,15048.5,0.0,0,0
2026-08-24T21:16:23.898436+00:00,105.3,1,2,215.9,10.54,5.6,15211.3,0.0,0,0
2026-08-24T21:16:28.902160+00:00,110.3,1,1,108.8,9.70,0.6,15166.0,0.0,0,0
2026-08-24T21:16:33.907660+00:00,115.3,1,10,1119.9,9.00,10.3,14997.3,0.0,0,0
2026-08-24T21:16:38.912387+00:00,120.3,1,10,1117.5,8.60,14.5,14989.5,0.0,0,0
2026-08-24T21:16:43.918176+00:00,125.3,1,9,979.3,7.91,6.2,15013.0,0.0,0,0
2026-08-24T21:16:48.922180+00:00,130.3,1,10,1065.5,7.28,6.0,14998.0,0.0,0,0
2026-08-24T21:16:53.925763+00:00,135.3,1,10,1118.4,6.69,3.7,14995.3,0.0,0,0
2026-08-24T21:16:58.929308+00:00,140.3,1,10,1119.6,6.16,6.5,14980.3,0.0,0,0
2026-08-24T21:17:03.932873+00:00,145.3,1,10,1119.6,5.66,4.2,14998.1,0.0,0,0
2026-08-24T21:17:08.936763+00:00,150.3,1,10,1116.1,5.21,5.0,14997.3,0.0,0,0
2026-08-24T21:17:13.940264+00:00,155.3,1,10,1121.6,4.79,4.2,15003.4,0.0,0,0
2026-08-24T21:17:18.943288+00:00,160.3,1,6,672.6,4.57,3.4,15106.1,0.0,0,0
2026-08-24T21:17:23.946337+00:00,165.3,1,2,224.3,4.20,1.3,15224.6,0.0,0,0
2026-08-24T21:17:28.950010+00:00,170.3,1,10,1081.7,4.91,8.3,14988.8,0.0,0,0
2026-08-24T21:17:33.953995+00:00,175.3,1,10,1120.6,4.51,2.1,14984.9,0.0,0,0
2026-08-24T21:17:38.959507+00:00,180.4,1,10,1109.6,4.31,2.5,14995.0,0.0,0,0
2026-08-24T21:17:43.963704+00:00,185.4,1,10,1121.0,3.97,10.1,14991.2,0.0,0,0
2026-08-24T21:17:48.967366+00:00,190.4,1,10,1117.1,3.65,3.0,15000.6,0.0,0,0
2026-08-24T21:17:53.970996+00:00,195.4,1,10,1114.0,3.36,7.1,14994.9,0.0,0,0
2026-08-24T21:17:58.975138+00:00,200.4,1,10,1119.6,3.09,3.9,14974.8,0.0,0,0
2026-08-24T21:18:03.979827+00:00,205.4,1,10,1059.4,2.84,3.3,15012.1,0.0,0,0
2026-08-24T21:18:08.983371+00:00,210.4,1,10,1117.9,2.61,6.7,15000.4,0.0,0,0
2026-08-24T21:18:13.987547+00:00,215.4,1,10,1121.5,2.40,3.4,15000.0,0.0,0,0
2026-08-24T21:18:18.993781+00:00,220.4,1,5,560.9,2.21,2.6,15131.3,0.0,0,0
2026-08-24T21:18:23.997208+00:00,225.4,1,2,224.7,2.03,1.1,15229.8,0.0,0,0
2026-08-24T21:18:28.999661+00:00,230.4,0,0,0.0,2.35,3.8,15295.8,0.0,0,0
